layer,startValue,endValue,newValue
DEM,578,1140,5
DEM,1140,1307,4
DEM,1307,1420,3
DEM,1420,1536,2
DEM,1536,2876,1
Slope,0,2,5
Slope,2,6,4
Slope,6,12,3
Slope,12,18,2
Slope,18,72.7,1
Lineaments,0,0.5,5
Lineaments,0.5,1,4
Lineaments,1,1.5,3
Lineaments,1.5,2,2
Lineaments,2,2.6,1
Drainage,0,0.5,1
Drainage,0.5,1,2
Drainage,1,1.5,3
Drainage,1.5,2,4
Drainage,2,3.4,5
Precip,284.2,405.1,1
Precip,405.1,525.9,2
Precip,525.9,647.7,3
Precip,647.7,767.6,4
Precip,767.6,888.4,5
NDVI,-0.1,0,5
NDVI,0,0.1,4
NDVI,0.1,0.2,3
NDVI,0.2,0.3,2
NDVI,0.3,0.4,1
